"SP" "NEW" "WG2"
"1" 1071.288720289 1069.50899508047 1073.22333795632
"2" 837.625122533542 845.984339207393 867.85738006388
"3" 617.20211576822 653.021901610698 706.617406591474
"4" 344.946048588339 378.957202598118 448.792530466878
"5" 244.846616141638 271.460071938937 344.194431122535
"6" 27.293233629531 42.8116773484183 102.267972107142
"7" 6.45488678151431 8.00554664340718 16.8160030999434
"8" 5.65065093322657 6.09366212472202 7.66648260088277
"9" 49.1100190966218 54.6871993801561 87.1232420694633
"10" 110.492155489664 138.955228098538 198.490727686057
"11" 442.654781075196 458.211068609084 507.181468484759
"12" 755.389802877152 751.715404522658 754.106647329904
