"SP" "NEW" "WG2"
"1" 0.71691769361496 0.717233955860138 0.717233955860138
"2" 0.00281987595371902 0.00282111973501742 0.00282111973501742
"3" 4.59699822386028e-06 4.59902594229789e-06 4.59902594229789e-06
"4" 5.44604805696736e-09 5.44845057959265e-09 5.44845057959265e-09
"5" 0.208039030432701 0.208059310913086 0.208059310913086
"6" 12.4307498931885 32.2174415588379 31.9540233612061
"7" 20.0806465148926 37.703125 37.5855140686035
"8" 9.91951274871826 22.4366130828857 22.4093589782715
"9" 4.85194873809814 10.4157943725586 10.3847036361694
"10" 1.76011621952057 6.58462524414062 6.51566743850708
"11" 0.00166505970992148 0.00654582353308797 0.00646587274968624
"12" 1.84946895842586e-06 7.27078895579325e-06 7.18198316462804e-06
