"SP" "NEW" "WG2"
"1" 635.647799075555 615.94420262518 596.851535688839
"2" 623.498286126814 599.908128462203 601.894045209045
"3" 385.922070481811 330.167910187043 348.109559681319
"4" 396.882973805875 203.285314273892 257.552773864181
"5" 583.910370278373 241.884546672205 301.870496510446
"6" 307.310076286812 95.0337388186869 127.660778973706
"7" 184.815677824929 43.0856286827984 57.9510920052827
"8" 170.665466846954 34.6851782250129 49.3877364348555
"9" 236.445826404226 39.5468997689327 55.4195796911399
"10" 395.304147373494 58.6161309650759 101.986765843416
"11" 1018.47518699127 648.026393628077 665.947731582049
"12" 626.602061386896 600.710502160124 579.207321333755
