"SP" "NEW" "WG2"
"1" 4.48574209213257 4.48772096633911 4.48772096633911
"2" 0.0199889931827784 0.0199978109449148 0.0199978109449148
"3" 3.60453086614143e-05 3.60612066288013e-05 3.60612066288013e-05
"4" 4.13623908457339e-08 4.13806375831882e-08 4.13806375831882e-08
"5" 1.30249166488647 1.30261874198914 1.30261874198914
"6" 51.6318855285645 89.9545059204102 89.5133590698242
"7" 60.8830909729004 84.511962890625 84.3487548828125
"8" 61.0818290710449 101.077270507812 101.028244018555
"9" 25.7560214996338 39.1998977661133 39.1670913696289
"10" 13.8135709762573 40.323055267334 40.0544700622559
"11" 0.0126460231840611 0.0497151128947735 0.0491078943014145
"12" 1.45148196679656e-05 5.70618867641315e-05 5.63649336982053e-05
