"SP" "NEW" "WG2"
"1" 354.348663206743 243.995996880835 246.505128048953
"2" 438.009228717941 362.374232295939 364.362478762883
"3" 552.46873921022 423.194651684764 424.800349063561
"4" 425.53151927721 381.224359536649 381.90463780633
"5" 556.988034309151 373.246990773051 375.414535213255
"6" 1380.31066585904 1161.74573527732 1164.31448918512
"7" 1834.40079888794 1806.98175754559 1805.91958612837
"8" 1305.84385442821 1231.66158551075 1232.12780095479
"9" 1132.65246207163 1042.7532227892 1045.73218838403
"10" 726.017958479501 656.469480225587 661.702981556844
"11" 361.967888396656 306.550564915032 309.889415718963
"12" 274.036289998525 208.574593175739 209.414084064794
